NAME;LOCATION;BLZ;bic;RPDHBCIPT
Testinstitut 421 das zu Testzwecken auch noch einen echt langen Namen hat;Berlin;94059421;TESTDETT421;0
Bundesbank;Berlin;10000000;MARKDEF1100;0
Postbank Ndl der Deutsche Bank;Berlin;10010010;PBNKDEFFXXX;1
OLINDA Zweigniederlassung Deutschland;Berlin;10010123;QNTODEB2XXX;0
Treezor, Berlin;Berlin;10010200;TRZODEB2XXX;0
Klarna Bank German Branch;Berlin;10010300;KLRNDEBEXXX;0
Aareal Bank;Berlin;10010424;AARBDE5W100;0
Noelse Pay;Berlin;10010500;AFOPDEB2XXX;0
Financiere des Paiements Electroniques NL Deutschland;Berlin;10010700;FPEGDEB2XXX;0
N26 Bank;Berlin;10011001;NTSBDEB1XXX;0
Swan Zweigniederlassung Deutschland;Berlin;10014000;SWNBDEBBXXX;0
Swan Zweigniederlassung Deutschland (Geschäftsfeld);Berlin;10014001;SWNBDEBBXXX;0
Holvi Payment Services Zweigniederlassung Deutschland;Berlin;10017997;HOLVDEB1XXX;0
BHF-BANK;Berlin;10020200;BHFBDEFF100;47
Bank für Sozialwirtschaft;Berlin;10020500;BFSWDE33BER;0
Bank für Sozialwirtschaft AG (nur intern);Berlin;10020510;BFSWDE33BER;0
Bank für Sozialwirtschaft AG (nur intern);Berlin;10020520;BFSWDE33BER;0
UniCredit Bank - HypoVereinsbank;Berlin;10020890;HYVEDEMM488;0
Berlin Hyp;Berlin;10030200;BHYPDEB2XXX;0
ABK Allgemeine Beamten Bank;Berlin;10030400;ABKBDEB1XXX;0
M.M. Warburg & Co (vormals Bankhaus Löbbecke);Hamburg;10030500;LOEBDEBBXXX;163
North Channel Bank;Mainz;10030600;GENODEF1OGK;31
Eurocity Bank;Frankfurt am Main;10030700;DLGHDEB1XXX;31
Eurocity Bank Gf GAA;Frankfurt am Main;10030730;DLGHDEB1XXX;0
EIS Einlagensicherungsbank;Berlin;10031000;EIEGDEB1XXX;0
Santander Consumer Bank;Berlin;10033300;SCFBDE33XXX;0
Commerzbank, Filiale Berlin 1;Berlin;10040000;COBADEFFXXX;23
Commerzbank, Filiale Berlin 3;Berlin;10040005;COBADEFFXXX;23
Commerzbank, CC SP;Berlin;10040010;COBADEFFXXX;23
Commerzbank GF-B48;Berlin;10040048;COBADEFFXXX;23
Commerzbank Gf 160;Berlin;10040060;COBADEFFXXX;23
Commerzbank Gf 161;Berlin;10040061;COBADEFFXXX;23
Commerzbank CC;Berlin;10040062;COBADEFFXXX;23
Commerzbank CC;Berlin;10040063;COBADEFFXXX;23
Commerzbank, Gf Web-K;Berlin;10040085;COBADEFFXXX;23
Commerzbank Service-BZ;Berlin;10045050;COBADEFFXXX;23
Landesbank Berlin - Berliner Sparkasse;Berlin;10050000;BELADEBEXXX;8
Landesbank Berlin - E 1 -;Berlin;10050005;;0
Landesbank Berlin - E 2 -;Berlin;10050006;;0
Landesbank Berlin - E 3 -;Berlin;10050007;;0
Landesbank Berlin - E 4 -;Berlin;10050008;;0
S-Kreditpartner, Berlin;Berlin;10050020;SKPADEB1XXX;0
LBS Ost Berlin;Berlin;10050500;LBSODEB1BLN;0
DekaBank;Frankfurt am Main;10050999;DGZFDEFFBER;0
Pax-Bank;Berlin;10060198;GENODED1PA6;56
Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ;Berlin;10061006;GENODED1KDB;0
Deutsche Bank;Berlin;10070000;DEUTDEBBXXX;19
Deutsche Bank;Berlin;10070024;DEUTDEDBBER;19
Deutsche Bank;Berlin;10070100;DEUTDEBB101;19
Deutsche Bank;Berlin;10070124;DEUTDEDB101;19
Postbank/DSL Ndl der Deutsche Bank;Berlin;10070324;DEUTDEDBP30;1
Postbank/DSL Ndl der Deutsche Bank;Berlin;10070397;DEUTDEBBP30;1
Postbank/DSL Ndl der Deutsche Bank;Berlin;10070398;DEUTDEBBP31;1
Postbank/DSL Ndl der Deutsche Bank;Berlin;10070399;DEUTDEBBP32;1
Deutsche Bank;Berlin;10070848;DEUTDEDB110;19
Postbank/DSL Ndl der Deutsche Bank;Berlin;10071324;DEUTDEDBP31;1
Postbank/DSL Ndl der Deutsche Bank;Berlin;10072324;DEUTDEDBP32;1
norisbank;Berlin;10077777;NORSDE51XXX;167
Commerzbank vormals Dresdner Bank Filiale Berlin I;Berlin;10080000;DRESDEFF100;23
Commerzbank vormals Dresdner Bank Zw A;Berlin;10080005;DRESDEFFI26;23
Commerzbank vormals Dresdner Bank Zw B;Berlin;10080006;DRESDEFFXXX;23
Commerzbank vormals Dresdner Bank Zw 55;Berlin;10080055;DRESDEFF112;23
Commerzbank vormals Dresdner Bank Gf ZW 57;Berlin;10080057;DRESDEFF114;23
Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3;Berlin;10080085;DRESDEFFI53;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4;Berlin;10080086;DRESDEFFI71;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5;Berlin;10080087;DRESDEFFI72;23
Commerzbank vormals Dresdner Bank IBLZ;Berlin;10080088;DRESDEFFXXX;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;Berlin;10080089;DRESDEFFI73;23
Commerzbank vormals Dresdner Bank Filiale Berlin III;Berlin;10080900;DRESDEFF199;23
Commerzbank vormals Dresdner Bank ITGK;Berlin;10089260;DRESDEFFI14;23
Commerzbank vormals Dresdner Bank ITGK 2;Berlin;10089999;DRESDEFFI99;23
Berliner Volksbank;Berlin;10090000;BEVODEBBXXX;31
Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer;Berlin;10090300;GENODEF1BSB;0
PSD Bank Berlin-Brandenburg;Berlin;10090900;GENODEF1P01;31
Westend Bank;Frankfurt am Main;10110300;MACODEB1XXX;0
Investitionsbank Berlin;Berlin;10110400;IBBBDEBBXXX;0
Quirin Privatbank;Berlin;10110600;QUBKDEBBXXX;0
Weberbank;Berlin;10120100;WELADED1WBB;8
Isbank Fil Berlin;Berlin;10130600;ISBKDEFXXXX;47
flatexDEGIRO Bank;Frankfurt am Main;10130800;BIWBDE33XXX;175
Lloyds Bank;Berlin;10220500;BOFSDEB1XXX;0
Sydbank Filiale Berlin;Flensburg;10220600;SYBKDE22BER;47
Tradegate Wertpapierhandelsbank Berlin;Berlin;10310600;TRDADEB1PBK;0
Tradegate Wertpapierhandelsbank, GF DIR;Berlin;10310666;TRDADEBBDIR;0
solarisBank;Berlin;11010100;SOBKDEBBXXX;0
solarisBank Gf (S);Berlin;11010101;SOBKDEB2XXX;0
solarisBank Gf (PNTA);Berlin;11010111;PNTADEBBXXX;0
KfW Kreditanstalt für Wiederaufbau;Berlin;12016836;KFWIDEFF100;0
Deutsche Kreditbank Berlin;Berlin;12030000;BYLADEM1001;8
Merck Finck A Quintet Private Bank;Berlin;12030900;MEFIDEMM100;47
Commerzbank Filiale Berlin 2;Berlin;12040000;COBADEFFXXX;23
ZVA Norddeutsche Landesbank Gf SA;Hannover;12050555;NOLADE21DVS;0
DZ BANK;Berlin;12060000;GENODEFF120;0
Deutsche Bank;Potsdam;12070000;DEUTDEBB160;19
Deutsche Bank;Potsdam;12070024;DEUTDEDB160;19
Deutsche Bank;Potsdam;12070070;DEUTDEFFVAC;0
Deutsche Bank;Potsdam;12070088;DEUTDEDBPAL;0
Postbank/DSL Ndl der Deutsche Bank;Cottbus;12070400;DEUTDEBBP33;1
Postbank/DSL Ndl der Deutsche Bank;Cottbus;12070424;DEUTDEDBP33;1
Commerzbank vormals Dresdner Bank Filiale Berlin II;Berlin;12080000;DRESDEFF120;23
Sparda-Bank Berlin;Berlin;12096597;GENODEF1S10;31
Sparkasse Musterstadt;Musterstadt;12345678;;0
Bundesbank;Rostock;13000000;MARKDEF1130;0
Commerzbank;Rostock;13040000;COBADEFFXXX;23
Ostseesparkasse Rostock;Rostock;13050000;NOLADE21ROS;8
Sparkasse Vorpommern auf Rügen;Bergen auf Rügen;13051042;NOLADE21RUE;0
Volks- und Raiffeisenbank;Wismar;13061078;GENODEF1HWI;56
Raiffeisenbank;Bad Doberan;13061128;GENODEF1DBR;0
Deutsche Bank;Rostock;13070000;DEUTDEBRXXX;19
Deutsche Bank;Rostock;13070024;DEUTDEDBROS;19
Postbank/DSL Ndl der Deutsche Bank;Schwerin;13070405;DEUTDEBBP35;1
Postbank/DSL Ndl der Deutsche Bank;Schwerin;13070424;DEUTDEDBP35;1
Commerzbank vormals Dresdner Bank;Rostock;13080000;DRESDEFF130;23
Pommersche Volksbank;Stralsund;13091054;GENODEF1HST;56
Commerzbank;Schwerin;14040000;COBADEFFXXX;23
Sparkasse Mecklenburg-Nordwest;Wismar;14051000;NOLADE21WIS;8
Sparkasse Mecklenburg-Schwerin;Parchim;14051362;NOLADE21PCH;0
Sparkasse Mecklenburg-Schwerin;Schwerin;14052000;NOLADE21LWL;8
VR Bank Mecklenburg eG;Rostock;14061308;GENODEF1GUE;56
Commerzbank vormals Dresdner Bank;Schwerin;14080000;DRESDEFF140;23
Commerzbank vormals Dresdner Bank Zw W;Schwerin;14080011;DRESDEFFI27;23
Bundesbank;Neubrandenburg;15000000;MARKDEF1150;0
Commerzbank;Neubrandenburg;15040068;COBADEFFXXX;23
Müritz-Sparkasse;Waren (Müritz);15050100;NOLADE21WRN;8
Sparkasse Neubrandenburg-Demmin;Neubrandenburg;15050200;NOLADE21NBS;8
Sparkasse Uecker-Randow;Pasewalk;15050400;NOLADE21PSW;8
Sparkasse Vorpommern;Greifswald;15050500;NOLADE21GRW;8
Sparkasse Mecklenburg-Strelitz;Neustrelitz;15051732;NOLADE21MST;8
Raiffeisenbank Mecklenburger Seenplatte;Waren (Müritz);15061618;GENODEF1WRN;56
Volksbank Vorpommern;Greifswald;15061638;GENODEF1ANK;56
Commerzbank vormals Dresdner Bank;Neubrandenburg;15080000;DRESDEFF150;23
Volksbank Demmin;Demmin, Hansestadt;15091674;GENODEF1DM1;56
VR-Bank Uckermark-Randow;Prenzlau;15091704;GENODEF1PZ1;56
SEB;Potsdam;16010111;ESSEDE5F160;0
Investitionsbank des Landes Brandenburg;Potsdam;16010300;ILBXDE8XXXX;0
UniCredit Bank - HypoVereinsbank;Potsdam;16020086;HYVEDEMM470;0
Commerzbank;Potsdam;16040000;COBADEFFXXX;23
Mittelbrandenburgische Sparkasse in Potsdam;Potsdam;16050000;WELADED1PMB;8
Sparkasse Prignitz;Pritzwalk;16050101;WELADED1PRP;8
Sparkasse Ostprignitz-Ruppin;Neuruppin;16050202;WELADED1OPR;8
LBS Ostdeutsche Landesbausparkasse;Potsdam;16050500;LBSODEB1XXX;0
Volks- und Raiffeisenbank Prignitz;Perleberg;16060122;GENODEF1PER;56
Raiffeisenbank Ostprignitz-Ruppin;Neuruppin;16061938;GENODEF1NPP;56
VR-Bank Fläming-Elsterland;Luckenwalde;16062008;GENODEF1LUK;56
Brandenburger Bank;Brandenburg an der Havel;16062073;GENODEF1BRB;56
Commerzbank vormals Dresdner Bank;Potsdam;16080000;DRESDEFF160;23
Volksbank Rathenow;Rathenow;16091994;GENODEF1RN1;56
UniCredit Bank - HypoVereinsbank;Frankfurt (Oder);17020086;HYVEDEMM471;0
Commerzbank;Frankfurt (Oder);17040000;COBADEFFXXX;23
Sparkasse Barnim;Eberswalde;17052000;WELADED1GZE;8
Stadtsparkasse Schwedt;Schwedt/Oder;17052302;WELADED1UMX;8
Sparkasse Märkisch-Oderland;Strausberg;17054040;WELADED1MOL;8
Sparkasse Oder-Spree;Frankfurt (Oder);17055050;WELADED1LOS;8
Sparkasse Uckermark;Prenzlau;17056060;WELADED1UMP;8
Raiffeisenbank-Volksbank Oder-Spree;Beeskow;17062428;GENODEF1BKW;56
Commerzbank vormals Dresdner Bank;Frankfurt (Oder);17080000;DRESDEFF170;23
VRB Fürstenwalde Seelow Wriezen eG;Fürstenwalde/Spree;17092404;GENODEF1FW1;56
UniCredit Bank - HypoVereinsbank;Cottbus;18020086;HYVEDEMM472;0
Commerzbank;Cottbus;18040000;COBADEFFXXX;23
Sparkasse Spree-Neiße;Cottbus;18050000;WELADED1CBN;8
Sparkasse Elbe-Elster;Finsterwalde;18051000;WELADED1EES;8
Sparkasse Niederlausitz;Senftenberg;18055000;WELADED1OSL;8
VR Bank Lausitz;Cottbus;18062678;GENODEF1FWA;56
Commerzbank vormals Dresdner Bank;Cottbus;18080000;DRESDEFF180;23
Spreewaldbank;Lübben (Spreewald);18092684;GENODEF1LN1;56
Volksbank Spree-Neiße;Spremberg;18092744;GENODEF1SPM;56
Virtuelle Bankleitzahl der 1822direkt;Frankfurt, Main;18220000;;0
Bundesbank;Hamburg;20000000;MARKDEF1200;0
Postbank Ndl der Deutsche Bank;Hamburg;20010020;PBNKDEFFXXX;1
Aareal Bank ehem. Filiale Hamburg;Wiesbaden;20010424;AARBDE5W200;0
Skandinaviska Enskilda Banken (publ) Hamburg Branch;Frankfurt am Main;20020200;ESSEDEFFHAM;0
Jyske Bank Fil Hamburg;Hamburg;20020500;JYBADEHHXXX;0
Signal Iduna Bauspar;Hamburg;20020900;SIBSDEHHXXX;0
UniCredit Bank - HypoVereinsbank;Hamburg;20030000;HYVEDEMM300;21
Varengold Bank;Hamburg;20030133;VGAGDEHHXXX;0
DONNER & REUSCHEL;Hamburg;20030300;CHDBDEHHXXX;56
Donner + Reuschel GF NL LUX;Hamburg;20030301;CHDBDEHHXXX;0
Marcard, Stein & Co Bankiers;Hamburg;20030400;MCRDDEHHXXX;163
Sydbank Fil Hamburg;Hamburg;20030600;SYBKDE22HAM;47
Merck Finck A Quintet Private Bank;Hamburg;20030700;MEFIDEMM200;47
Commerzbank;Hamburg;20040000;COBADEFFXXX;23
Commerzbank, Filiale Hamburg 2;Hamburg;20040005;COBADEFFXXX;23
Commerzbank, CC SP;Hamburg;20040020;COBADEFFXXX;23
Commerzbank GF RME;Hamburg;20040040;COBADEFFXXX;23
Commerzbank GF-H48;Hamburg;20040048;COBADEFFXXX;23
Commerzbank GF COC;Hamburg;20040050;COBADEFFXXX;23
Commerzbank Gf 260;Hamburg;20040060;COBADEFFXXX;23
Commerzbank Gf 261;Hamburg;20040061;COBADEFFXXX;23
Commerzbank CC;Hamburg;20040062;COBADEFFXXX;23
Commerzbank CC;Hamburg;20040063;COBADEFFXXX;23
Commerzbank - GF comdirect;Quickborn;20041111;COBADEHDXXX;68
Commerzbank - GF comdirect;Quickborn;20041133;COBADEHD001;68
Commerzbank - GF comdirect;Quickborn;20041144;COBADEHD044;68
Commerzbank - GF comdirect;Quickborn;20041155;COBADEHD055;68
Commerzbank - GF comdirect;Quickborn;20041166;COBADEHD066;68
Commerzbank - GF comdirect;Quickborn;20041177;COBADEHD077;68
Commerzbank - GF comdirect;Quickborn;20041188;COBADEHD088;68
Commerzbank - GF comdirect;Quickborn;20041199;COBADEHD099;68
Hamburg Commercial Bank, ehemals HSH Nordbank Hamburg;Hamburg;20050000;HSHNDEHHXXX;0
Hamburger Sparkasse;Hamburg;20050550;HASPDEHHXXX;8
DZ BANK;Hamburg;20060000;GENODEFF200;0
Raiffeisenbank;Seestermühe;20069144;GENODEF1SST;56
Raiffeisenbank Südstormarn Mölln;Mölln;20069177;GENODEF1GRS;56
Raiffeisenbank Owschlag;Owschlag;20069641;GENODEF1OWS;56
Volksbank Ahlerstedt;Ahlerstedt;20069780;GENODEF1AST;56
Volksbank Geest;Apensen;20069782;GENODEF1APE;56
Volksbank Kehdingen Zndl. der Ostfriesischen Volksbank;Drochtersen;20069786;GENODEF1DRO;56
Spar- und Kreditbank;Hammah;20069800;GENODEF1HAA;56
Volksbank Fredenbeck;Fredenbeck;20069812;GENODEF1FRB;56
Volksbank;Oldendorf;20069815;GENODEF1815;56
Volksbank Winsener Marsch;Marschacht;20069965;GENODEF1WIM;56
Deutsche Bank;Hamburg;20070000;DEUTDEHHXXX;19
Deutsche Bank;Hamburg;20070024;DEUTDEDBHAM;19
Postbank/DSL Ndl der Deutsche Bank;Hamburg;20070404;DEUTDEHHP34;1
Postbank/DSL Ndl der Deutsche Bank;Hamburg;20070424;DEUTDEDBP34;1
Commerzbank vormals Dresdner Bank;Hamburg;20080000;DRESDEFF200;23
Commerzbank vormals Dresdner Bank Zw 55;Hamburg;20080055;DRESDEFF207;23
Commerzbank vormals Dresdner Bank Gf ZW 57;Hamburg;20080057;DRESDEFF208;23
Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 2;Hamburg;20080085;DRESDEFFI56;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 3;Hamburg;20080086;DRESDEFFI63;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4;Hamburg;20080087;DRESDEFFI64;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5;Hamburg;20080088;DRESDEFFI74;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;Hamburg;20080089;DRESDEFFI75;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 7;Hamburg;20080091;DRESDEFFJ33;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 8;Hamburg;20080092;DRESDEFFJ34;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 9;Hamburg;20080093;DRESDEFFJ35;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 10;Hamburg;20080094;DRESDEFFJ36;23
Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 11;Hamburg;20080095;DRESDEFFJ37;23
Commerzbank vormals Dresdner Bank ITGK;Hamburg;20089200;DRESDEFFI06;23
DZ HYP;Hamburg;20090400;DGHYDEH1XXX;0
Edekabank;Hamburg;20090700;EDEKDEHHXXX;56
EBANK Gf Cash;Hamburg;20090745;EDEKDEHHXXX;0
PSD Bank Nord;Hamburg;20090900;GENODEF1P08;31
Postbank Ndl der Deutsche Bank;Hamburg;20110022;PBNKDEFFXXX;1
MUFG Bank (Europe) Germany Branch;Düsseldorf;20110700;BOTKDEH1XXX;0
Bank of China Fil Hamburg;Hamburg;20110800;BKCHDEFFHMB;0
Joh. Berenberg, Gossler & Co;Hamburg;20120000;BEGODEHHXXX;0
M.M. Warburg & CO;Hamburg;20120100;WBWCDEHHXXX;163
BHF-BANK;Hamburg;20120200;BHFBDEFF200;47
start:bausparkasse;Hamburg;20120400;DRBKDEH1XXX;0
Bank für Sozialwirtschaft AG (nur intern);Hamburg;20120520;BFSWDE33HAN;0
Goyer & Göppel;Hamburg;20120600;GOGODEH1XXX;0
Hanseatic Bank;Hamburg;20120700;HSTBDEHHXXX;0
GRENKE BANK;Baden-Baden;20130400;GREBDEH1XXX;31
Barclays Bank Ireland Hamburg Branch;Hamburg;20130600;BARCDEHAXXX;0
Santander Consumer Bank;Hamburg;20133300;SCFBDE33XXX;0
Hamburger Volksbank;Hamburg;20190003;GENODEF1HH2;56
Hamburger Volksbank (Gf GAA);Hamburg;20190077;GENODEF1HH2;0
Volksbank Raiffeisenbank eG;Bad Oldesloe;20190109;GENODEF1HH4;56
MKB Mittelstandskreditbank;Hamburg;20190800;GENODEF1MKB;56
Bank Melli Iran;Hamburg;20210200;MELIDEHHXXX;0
Bank Saderat Iran;Hamburg;20210300;SIHRDEH1HAM;0
DNB Bank ASA - Filiale Deutschland;Hamburg;20220100;DNBADEHXXXX;0
Warburg, M.M. - Hypothekenbank;Hamburg;20220400;MMWHDEH1XXX;0
Banking Circle - German Branch;München;20220800;SXPYDEHHXXX;0
Otto M. Schröder Bank;Hamburg;20230300;OSCBDEH1XXX;31
Isbank Hamburg;Hamburg;20230600;ISBKDEFXXXX;47
Sutor Bank;Hamburg;20230800;MHSBDEHBXXX;0
Europäisch-Iranische Handelsbank;Hamburg;20310300;EIHBDEHHXXX;0
Sparda-Bank Hamburg;Hamburg;20690500;GENODEF1S11;31
UniCredit Bank - HVB Settlement EAC01;Hamburg;20730001;HYVEDEMME01;0
UniCredit Bank - HVB Settlement EAC02;Hamburg;20730002;HYVEDEMME02;0
UniCredit Bank - HVB Settlement EAC03;Hamburg;20730003;HYVEDEMME03;0
UniCredit Bank - HVB Settlement EAC04;Hamburg;20730004;HYVEDEMME04;0
UniCredit Bank - HVB Settlement EAC05;Hamburg;20730005;HYVEDEMME05;0
UniCredit Bank - HVB Settlement EAC06;Hamburg;20730006;HYVEDEMME06;0
UniCredit Bank - HVB Settlement EAC07;Hamburg;20730007;HYVEDEMME07;0
UniCredit Bank - HVB Settlement EAC08;Hamburg;20730008;HYVEDEMME08;0
UniCredit Bank - HVB Settlement EAC09;Hamburg;20730009;HYVEDEMME09;0
UniCredit Bank - HVB Settlement EAC10;Hamburg;20730010;HYVEDEMME10;0
UniCredit Bank - HVB Settlement EAC11;Hamburg;20730011;HYVEDEMME11;0
UniCredit Bank - HVB Settlement EAC12;Hamburg;20730012;HYVEDEMME12;0
UniCredit Bank - HVB Settlement EAC13;Hamburg;20730013;HYVEDEMME13;0
UniCredit Bank - HVB Settlement EAC14;Hamburg;20730014;HYVEDEMME14;0
UniCredit Bank - HVB Settlement EAC15;Hamburg;20730015;HYVEDEMME15;0
UniCredit Bank - HVB Settlement EAC16;Hamburg;20730016;HYVEDEMME16;0
UniCredit Bank - HVB Settlement EAC17;Hamburg;20730017;HYVEDEMME17;0
UniCredit Bank - HVB Settlement EAC18;Hamburg;20730018;HYVEDEMME18;0
UniCredit Bank - HVB Settlement EAC19;Hamburg;20730019;HYVEDEMME19;0
UniCredit Bank - HVB Settlement EAC20;Hamburg;20730020;HYVEDEMME20;0
UniCredit Bank - HVB Settlement EAC21;Hamburg;20730021;HYVEDEMME21;0
UniCredit Bank - HVB Settlement EAC22;Hamburg;20730022;HYVEDEMME22;0
UniCredit Bank - HVB Settlement EAC23;Hamburg;20730023;HYVEDEMME23;0
UniCredit Bank - HVB Settlement EAC24;Hamburg;20730024;HYVEDEMME24;0
UniCredit Bank - HVB Settlement EAC25;Hamburg;20730025;HYVEDEMME25;0
UniCredit Bank - HVB Settlement EAC26;Hamburg;20730026;HYVEDEMME26;0
UniCredit Bank - HVB Settlement EAC27;Hamburg;20730027;HYVEDEMME27;0
UniCredit Bank - HVB Settlement EAC28;Hamburg;20730028;HYVEDEMME28;0
UniCredit Bank - HVB Settlement EAC29;Hamburg;20730029;HYVEDEMME29;0
UniCredit Bank - HVB Settlement EAC30;Hamburg;20730030;HYVEDEMME30;0
UniCredit Bank - HVB Settlement EAC31;Hamburg;20730031;HYVEDEMME31;0
UniCredit Bank - HVB Settlement EAC32;Hamburg;20730032;HYVEDEMME32;0
UniCredit Bank - HVB Settlement EAC33;Hamburg;20730033;HYVEDEMME33;0
UniCredit Bank - HVB Settlement EAC34;Hamburg;20730034;HYVEDEMME34;0
UniCredit Bank - HVB Settlement EAC35;Hamburg;20730035;HYVEDEMME35;0
UniCredit Bank - HVB Settlement EAC36;Hamburg;20730036;HYVEDEMME36;0
UniCredit Bank - HVB Settlement EAC37;Hamburg;20730037;HYVEDEMME37;0
UniCredit Bank - HVB Settlement EAC38;Hamburg;20730038;HYVEDEMME38;0
UniCredit Bank - HVB Settlement EAC39;Hamburg;20730039;HYVEDEMME39;0
UniCredit Bank - HVB Settlement EAC40;Hamburg;20730040;HYVEDEMME40;0
UniCredit Bank - HVB Settlement EAC41;Hamburg;20730041;HYVEDEMME41;0
UniCredit Bank - HVB Settlement EAC42;Hamburg;20730042;HYVEDEMME42;0
UniCredit Bank - HVB Settlement EAC43;Hamburg;20730043;HYVEDEMME43;0
UniCredit Bank - HVB Settlement EAC44;Hamburg;20730044;HYVEDEMME44;0
UniCredit Bank - HVB Settlement EAC45;Hamburg;20730045;HYVEDEMME45;0
UniCredit Bank - HVB Settlement EAC46;Hamburg;20730046;HYVEDEMME46;0
UniCredit Bank - HVB Settlement EAC47;Hamburg;20730047;HYVEDEMME47;0
UniCredit Bank - HVB Settlement EAC48;Hamburg;20730048;HYVEDEMME48;0
UniCredit Bank - HVB Settlement EAC49;Hamburg;20730049;HYVEDEMME49;0
UniCredit Bank - HVB Settlement EAC50;Hamburg;20730050;HYVEDEMME50;0
UniCredit Bank - HVB Settlement EAC52;Hamburg;20730052;HYVEDEMME52;0
UniCredit Bank - HVB Settlement EAC55;Hamburg;20730055;HYVEDEMME55;0
UniCredit Bank - HVB Settlement EAC56;Hamburg;20730056;HYVEDEMME56;0
UniCredit Bank - HVB Settlement EAC57;Hamburg;20730057;HYVEDEMME57;0
UniCredit Bank - HVB Settlement EAC58;Hamburg;20730058;HYVEDEMME58;0
UniCredit Bank - HVB Settlement EAC59;Hamburg;20730059;HYVEDEMME59;0
UniCredit Bank - HVB Settlement EAC60;Hamburg;20730060;HYVEDEMME60;0
UniCredit Bank - HVB Settlement EAC61;Hamburg;20730061;HYVEDEMME61;0
UniCredit Bank - HVB Settlement EAC62;Hamburg;20730062;HYVEDEMME62;0
UniCredit Bank - HVB Settlement EAC63;Hamburg;20730063;HYVEDEMME63;0
UniCredit Bank - HVB Settlement EAC64;Hamburg;20730064;HYVEDEMME64;0
UniCredit Bank - HVB Settlement EAC65;Hamburg;20730065;HYVEDEMME65;0
UniCredit Bank - HVB Settlement EAC66;Hamburg;20730066;HYVEDEMME66;0
UniCredit Bank - HVB Settlement EAC67;Hamburg;20730067;HYVEDEMME67;0
UniCredit Bank - HVB Settlement EAC68;Hamburg;20730068;HYVEDEMME68;0
UniCredit Bank - HVB Settlement EAC69;Hamburg;20730069;HYVEDEMME69;0
UniCredit Bank - HVB Settlement EAC70;Hamburg;20730070;HYVEDEMME70;0
UniCredit Bank - HVB Settlement EAC71;Hamburg;20730071;HYVEDEMME71;0
UniCredit Bank - HVB Settlement EAC72;Hamburg;20730072;HYVEDEMME72;0
UniCredit Bank - HVB Settlement EAC73;Hamburg;20730073;HYVEDEMME73;0
UniCredit Bank - HVB Settlement EAC74;Hamburg;20730074;HYVEDEMME74;0
UniCredit Bank - HVB Settlement EAC75;Hamburg;20730075;HYVEDEMME75;0
UniCredit Bank - HVB Settlement EAC76;Hamburg;20730076;HYVEDEMME76;0
UniCredit Bank - HVB Settlement EAC77;Hamburg;20730077;HYVEDEMME77;0
UniCredit Bank - HVB Settlement EAC78;Hamburg;20730078;HYVEDEMME78;0
UniCredit Bank - HVB Settlement EAC79;Hamburg;20730079;HYVEDEMME79;0
UniCredit Bank - HVB Settlement EAC80;Hamburg;20730080;HYVEDEMME80;0
UniCredit Bank - HVB Settlement EAC81;Hamburg;20730081;HYVEDEMME81;0
UniCredit Bank - HVB Settlement EAC82;Hamburg;20730082;HYVEDEMME82;0
UniCredit Bank - HVB Settlement EAC83;Hamburg;20730083;HYVEDEMME83;0
UniCredit Bank - HVB Settlement EAC84;Hamburg;20730084;HYVEDEMME84;0
UniCredit Bank - HVB Settlement EAC85;Hamburg;20730085;HYVEDEMME85;0
UniCredit Bank - HVB Settlement EAC86;Hamburg;20730086;HYVEDEMME86;0
UniCredit Bank - HVB Settlement EAC87;Hamburg;20730087;HYVEDEMME87;0
UniCredit Bank - HVB Settlement EAC88;Hamburg;20730088;HYVEDEMME88;0
UniCredit Bank - HVB Settlement EAC89;Hamburg;20730089;HYVEDEMME89;0
UniCredit Bank - HVB Settlement EAC90;Hamburg;20730090;HYVEDEMME90;0
UniCredit Bank - HVB Settlement EAC91;Hamburg;20730091;HYVEDEMME91;0
UniCredit Bank - HVB Settlement EAC92;Hamburg;20730092;HYVEDEMME92;0
UniCredit Bank - HVB Settlement EAC93;Hamburg;20730093;HYVEDEMME93;0
UniCredit Bank - HVB Settlement EAC94;Hamburg;20730094;HYVEDEMME94;0
UniCredit Bank - HVB Settlement EAC95;Hamburg;20730095;HYVEDEMME95;0
UniCredit Bank - HVB Settlement EAC96;Hamburg;20730096;HYVEDEMME96;0
